podcast_id,programmatic_consistency_passed,programmatic_consistency_reason,last_episode_date,days_since_last_episode,average_frequency_days,llm_match_score,llm_match_explanation,composite_score,quality_tier,final_explanation,metric_scores,error
pd_dpmk29nqnr9ev8nz,False,Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-07T09:00:00+00:00,0,,70.0,"The podcast focuses on business and entrepreneurship, which aligns with the guest's experience in AI solutions for businesses. Several talking points, such as customer-centric AI and AI governance, fit the podcast's focus on business growth and lessons learned. However, the podcast's general business focus might not fully delve into the technical depth of all the guest's AI-related topics.",54.0,C,"Overall Tier: C (Score: 54/100). | Programmatic Consistency: Failed - Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 70/100 - The podcast focuses on business and entrepreneurship, which aligns with the guest's experience in AI solutions for businesses. Several talking points, such as customer-centric AI and AI governance, fit the podcast's focus on business growth and lessons learned. However, the podcast's general business focus might not fully delve into the technical depth of all the guest's AI-related topics.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 70.0}",
pd_7a3do5byv2ljkxyr,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_7a3do5byv2ljkxyr: unsupported format string passed to NoneType.__format__,{},Failed to vet profile pd_7a3do5byv2ljkxyr: unsupported format string passed to NoneType.__format__
pd_dpmk29need9ev8nz,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_dpmk29need9ev8nz: unsupported format string passed to NoneType.__format__,{},Failed to vet profile pd_dpmk29need9ev8nz: unsupported format string passed to NoneType.__format__
pd_rnkbp9o2qgg572wa,False,Recent (Last ep: 1 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-06T11:00:00+00:00,1,,20.0,"The podcast focuses on buying and selling businesses, which doesn't align well with the guest's AI expertise. The audience is likely interested in business acquisitions rather than AI implementation strategies in large companies, making it a poor fit for the guest's talking points and ideal podcast description. ",24.0,D,"Overall Tier: D (Score: 24/100). | Programmatic Consistency: Failed - Recent (Last ep: 1 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 20/100 - The podcast focuses on buying and selling businesses, which doesn't align well with the guest's AI expertise. The audience is likely interested in business acquisitions rather than AI implementation strategies in large companies, making it a poor fit for the guest's talking points and ideal podcast description. ","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 20.0}",
pd_vp6km5arreyj4lae,False,Recent (Last ep: 2 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-05T12:00:00+00:00,2,,60.0,"The podcast discusses holding companies, entrepreneurship, small businesses, and investing. While there's some overlap with entrepreneurship and investing, the primary focus isn't AI implementation in large companies, making it a moderate fit for the guest's expertise and ideal podcast description. The guest's focus on AI in Fortune 500 companies is a narrower niche than the podcast's broader scope, but the audience may still find the AI insights valuable.",48.0,D,"Overall Tier: D (Score: 48/100). | Programmatic Consistency: Failed - Recent (Last ep: 2 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 60/100 - The podcast discusses holding companies, entrepreneurship, small businesses, and investing. While there's some overlap with entrepreneurship and investing, the primary focus isn't AI implementation in large companies, making it a moderate fit for the guest's expertise and ideal podcast description. The guest's focus on AI in Fortune 500 companies is a narrower niche than the podcast's broader scope, but the audience may still find the AI insights valuable.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 60.0}",
pd_w6go3jmn26852la7,False,Recent (Last ep: 2 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-05T11:00:00+00:00,2,,70.0,"The UpFlip podcast focuses on entrepreneurship and business building, which aligns reasonably well with Phillip Swan's focus on AI implementation in large companies. Several of Phillip's talking points, such as AI governance and customer-centric AI, could be relevant to the UpFlip audience interested in building successful businesses. However, the podcast's general focus might not be as deeply technical as Phillip's expertise, leading to a slightly lower match score than a dedicated AI podcast would receive. ",54.0,C,"Overall Tier: C (Score: 54/100). | Programmatic Consistency: Failed - Recent (Last ep: 2 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 70/100 - The UpFlip podcast focuses on entrepreneurship and business building, which aligns reasonably well with Phillip Swan's focus on AI implementation in large companies. Several of Phillip's talking points, such as AI governance and customer-centric AI, could be relevant to the UpFlip audience interested in building successful businesses. However, the podcast's general focus might not be as deeply technical as Phillip's expertise, leading to a slightly lower match score than a dedicated AI podcast would receive. ","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 70.0}",
pd_k2a645pbmxl9qpln,False,Recent (Last ep: 1 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-06T09:00:00+00:00,1,,20.0,"The podcast focuses on replacing a job with income from real estate or business acquisition, which doesn't align well with the guest's AI and technology background. The audience is likely interested in entrepreneurship and finance, not AI implementation in large companies. The ideal podcast description focuses on AI usage and implementation at large companies, which is not the focus of this podcast.",24.0,D,"Overall Tier: D (Score: 24/100). | Programmatic Consistency: Failed - Recent (Last ep: 1 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 20/100 - The podcast focuses on replacing a job with income from real estate or business acquisition, which doesn't align well with the guest's AI and technology background. The audience is likely interested in entrepreneurship and finance, not AI implementation in large companies. The ideal podcast description focuses on AI usage and implementation at large companies, which is not the focus of this podcast.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 20.0}",
pd_w6go3jmm2lj2la7b,False,Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-07T17:30:00+00:00,0,,60.0,"The podcast focuses on startup ideas, which could be relevant to the guest's AI solutions if framed within a startup context. However, the podcast's general focus may not be ideal for in-depth discussions on AI implementation in large Fortune 500 companies, as the guest profile suggests. The ideal podcast description focuses on AI usage and implementation at large companies, which is only partially aligned with the provided podcast's startup focus, hence the moderate score.",48.0,D,"Overall Tier: D (Score: 48/100). | Programmatic Consistency: Failed - Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 60/100 - The podcast focuses on startup ideas, which could be relevant to the guest's AI solutions if framed within a startup context. However, the podcast's general focus may not be ideal for in-depth discussions on AI implementation in large Fortune 500 companies, as the guest profile suggests. The ideal podcast description focuses on AI usage and implementation at large companies, which is only partially aligned with the provided podcast's startup focus, hence the moderate score.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 60.0}",
pd_eym7vj4v7gyj43wp,False,Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-07T10:00:00+00:00,0,,70.0,"The podcast focuses on business ideas and entrepreneurship, which aligns with the guest's experience in AI solutions for businesses. While the podcast description doesn't specifically mention AI, the audience interested in business growth and innovation could be receptive to the guest's insights on AI implementation and its impact on various industries. The guest's focus on AI governance and customer-centricity also resonates with the podcast's theme of providing practical business advice and growth strategies, making it a reasonably good match despite the lack of explicit AI focus in the podcast description.",54.0,C,"Overall Tier: C (Score: 54/100). | Programmatic Consistency: Failed - Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 70/100 - The podcast focuses on business ideas and entrepreneurship, which aligns with the guest's experience in AI solutions for businesses. While the podcast description doesn't specifically mention AI, the audience interested in business growth and innovation could be receptive to the guest's insights on AI implementation and its impact on various industries. The guest's focus on AI governance and customer-centricity also resonates with the podcast's theme of providing practical business advice and growth strategies, making it a reasonably good match despite the lack of explicit AI focus in the podcast description.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 70.0}",
pd_dpmk29nnx8a9ev8n,False,Recent (Last ep: 1 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-06T03:00:00+00:00,1,,60.0,"The podcast focuses on high-net-worth individuals and their financial habits, which is not a direct match for the guest's expertise in AI implementation for Fortune 500 companies. While some topics like AI governance in financial institutions could be relevant, the primary audience and podcast theme are not ideally aligned with the guest's profile and ideal podcast description. The podcast's focus on personal finance and lifestyle for high-net-worth individuals is a significant deviation from the guest's focus on AI strategy and implementation at large companies, though there is some overlap with AI governance in FSI.",48.0,D,"Overall Tier: D (Score: 48/100). | Programmatic Consistency: Failed - Recent (Last ep: 1 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 60/100 - The podcast focuses on high-net-worth individuals and their financial habits, which is not a direct match for the guest's expertise in AI implementation for Fortune 500 companies. While some topics like AI governance in financial institutions could be relevant, the primary audience and podcast theme are not ideally aligned with the guest's profile and ideal podcast description. The podcast's focus on personal finance and lifestyle for high-net-worth individuals is a significant deviation from the guest's focus on AI strategy and implementation at large companies, though there is some overlap with AI governance in FSI.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 60.0}",
pd_7a3do5b8vek5kxyr,False,Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-07T12:00:00+00:00,0,,70.0,"The podcast's focus on unfiltered lessons from smart minds and overcoming conventional thinking aligns reasonably well with the guest's expertise in AI implementation and ethical considerations. While the podcast has a broad scope, the guest's topics on AI governance, customer-centric AI, and the future of work could resonate with the audience interested in innovative solutions and industry transformation. The podcast's description doesn't explicitly mention AI, but the guest's insights could provide valuable, actionable content for listeners seeking to make a 'dent on the world' through responsible AI adoption in large-scale companies, as mentioned in the ideal podcast description, making it a decent fit.",54.0,C,"Overall Tier: C (Score: 54/100). | Programmatic Consistency: Failed - Recent (Last ep: N/A days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 70/100 - The podcast's focus on unfiltered lessons from smart minds and overcoming conventional thinking aligns reasonably well with the guest's expertise in AI implementation and ethical considerations. While the podcast has a broad scope, the guest's topics on AI governance, customer-centric AI, and the future of work could resonate with the audience interested in innovative solutions and industry transformation. The podcast's description doesn't explicitly mention AI, but the guest's insights could provide valuable, actionable content for listeners seeking to make a 'dent on the world' through responsible AI adoption in large-scale companies, as mentioned in the ideal podcast description, making it a decent fit.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 70.0}",
pd_ndbka52pwvyj2gez,False,Recent (Last ep: 2 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-05-05T09:00:00+00:00,2,,60.0,"The podcast focuses on side hustles and small business entrepreneurship, which has some overlap with the guest's expertise in AI implementation for businesses. While not a perfect fit, the guest's insights on AI solutions and customer-centricity could be relevant to the podcast's audience of entrepreneurs looking for innovative business strategies. The podcast's focus on actionable tips also aligns with the guest's goal of providing practical strategies for AI implementation and data governance, but the podcast's primary focus is not AI, lowering the score.",48.0,D,"Overall Tier: D (Score: 48/100). | Programmatic Consistency: Failed - Recent (Last ep: 2 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 60/100 - The podcast focuses on side hustles and small business entrepreneurship, which has some overlap with the guest's expertise in AI implementation for businesses. While not a perfect fit, the guest's insights on AI solutions and customer-centricity could be relevant to the podcast's audience of entrepreneurs looking for innovative business strategies. The podcast's focus on actionable tips also aligns with the guest's goal of providing practical strategies for AI implementation and data governance, but the podcast's primary focus is not AI, lowering the score.","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 60.0}",
pd_ka86x53v26n9wgdv,False,Recent (Last ep: 7 days ago). | Frequency calculation failed or N/A (Ideal: <30).,2025-04-30T13:36:00+00:00,7,,65.0,"The podcast focuses on entrepreneurship, wealth creation, and personal development, which has some overlap with the guest's expertise in AI implementation for businesses. While not a perfect fit, the audience interested in business growth could benefit from the guest's insights on leveraging AI for revenue generation and customer-centricity. The podcast's description suggests a focus on creating change and reaching full potential, which aligns with the transformative potential of AI discussed in the guest's talking points, but the primary focus of the podcast is not AI, lowering the score somewhat. ",51.0,C,"Overall Tier: C (Score: 51/100). | Programmatic Consistency: Failed - Recent (Last ep: 7 days ago). | Frequency calculation failed or N/A (Ideal: <30). | LLM Content Match: Score 65/100 - The podcast focuses on entrepreneurship, wealth creation, and personal development, which has some overlap with the guest's expertise in AI implementation for businesses. While not a perfect fit, the audience interested in business growth could benefit from the guest's insights on leveraging AI for revenue generation and customer-centricity. The podcast's description suggests a focus on creating change and reaching full potential, which aligns with the transformative potential of AI discussed in the guest's talking points, but the primary focus of the podcast is not AI, lowering the score somewhat. ","{""recency_score"": 1.0, ""frequency_score"": 0.0, ""llm_match_score"": 65.0}",
